,Zipcode,Total Discharges,Average Charge,National Average Charge,Difference,State,Urban Type,Center Point Lat,Center Point Lng,Population,Pop Density,Median Age,ZC Eth,Pct Dom Eth,Edu Score,Main_Lang,Lng_Pct,House_Const_Yr,Med Gross Rent,Med Home_Val,Household Income,Per Capita Income,Pvty Rate,Unemployed Rate,Pov_Group,Pov_Pct,ID,Near_Hosp,Near_Hos_Zip,Near_Hos_Lat,Near_Hos_Lng,Hosp_Dist
0,10003,72.7196261682243,16867.59271028037,11566.62196261681,5300.970747663549,NY,Urbanized Area,40.731829,-73.989181,57112.0,99152.77777777775,32.1,White,77.63517299341645,77.17610964138743,Mixed,74.33989354251295,1939.0,2030.0,913200.0,98151.0,80936.0,8.59364056590559,3.8906009244992297,White,70.35452322738386,3.0,NEW YORK EYE AND EAR INFIRMARY,10003,40.73185306300008,-73.98448330999997,0.2465896303182009
1,10016,50.691176470588225,20250.382426470587,11320.090220588236,8930.292205882359,NY,Urbanized Area,40.745221,-73.97829399999998,50641.0,95189.84962406015,33.4,Mixed,71.94960605043346,76.57806225601178,Mixed,66.77395786023183,1964.0,2327.0,746900.0,104826.0,88937.0,9.600916253628483,3.447799214075552,White,61.20937885643768,2.0,NYU HOSPITALS CENTER,10016,40.742046904000055,-73.97392933399993,0.3169227512634812
2,10019,43.46153846153846,17563.18009615385,11485.672403846153,6077.50769230769,NY,Urbanized Area,40.765823,-73.987179,38830.0,56438.9534883721,39.2,Mixed,71.43960855009014,75.03969219715144,Mixed,63.46381663662118,1963.0,2169.0,846600.0,94022.0,89202.0,11.959824877671902,3.906773113571981,White,57.36434108527132,2.0,THE ADDICTION INSTITUTE OF NEW YORK,10019,40.769412130000035,-73.98680839499998,0.2484224294390904
3,10021,108.97716894977171,19834.264748858433,12282.21210045663,7552.052648401828,NY,Urbanized Area,40.769225,-73.958741,43573.0,114364.82939632545,39.5,White,83.59534574162898,79.06624460672163,Mixed,69.99518050168683,1959.0,1913.0,1138700.0,115076.0,119996.0,6.350262777408028,1.803869368645721,White,87.38706179978315,6.0,GRACIE SQUARE HOSPITAL,10021,40.76971650000007,-73.95302134799994,0.301968707626268
4,10029,72.064,19553.34328,11457.78511999999,8095.55816,NY,Urbanized Area,40.791763,-73.94397,79251.0,97599.75369458128,33.3,Mixed,30.94598175417345,56.31027602261389,Mixed,41.26887988795095,1960.0,886.0,799900.0,31350.0,25697.0,29.52770312046536,5.703398064377737,His,58.18554762616982,1.0,METROPOLITAN HOSPITAL CENTER,10029,40.78492694000005,-73.94453022899995,0.4726239105682898
5,10037,21.041666666666668,17266.7,7976.6641666666665,9290.035833333337,NY,Urbanized Area,40.81296,-73.937376,18777.0,73062.25680933852,36.1,Mixed,10.75784204079459,62.01344264716744,Mixed,68.24306332214944,1956.0,1047.0,356800.0,35491.0,25883.0,28.673377003781226,5.884859136177237,Black,70.0965824665676,1.0,HARLEM HOSPITAL CENTER,10037,40.814264930000036,-73.93986126099996,0.15838005082126536
6,10304,28.410714285714285,15563.950000000004,10011.900714285712,5552.049285714287,NY,Urbanized Area,40.608497,-74.093239,42244.0,10898.864809081528,35.6,Mixed,51.47003124704101,56.29219071981811,Mixed,57.03295142505446,1963.0,1074.0,423200.0,54106.0,28842.0,18.94706940630622,3.2430641037780514,His,47.92603698150925,2.0,STATEN ISLAND UNIV HOSP-CONCORD DIV,10304,40.60306402900005,-74.09182024699999,0.38223301076643945
7,10305,57.464646464646464,15948.043535353536,11380.94202020202,4567.101515151515,NY,Urbanized Area,40.596691,-74.074866,41795.0,10132.121212121212,39.5,White,76.43976552219166,56.554991849109484,Mixed,49.06328508194761,1972.0,1195.0,409500.0,72782.0,29938.0,12.190453403517168,3.3879650675918174,White,66.14327772325811,2.0,STATEN ISLAND UNIV HOSP-CONCORD DIV,10304,40.60306402900005,-74.09182024699999,0.9942288347496684
8,10451,25.731707317073173,24089.47024390244,8980.413414634146,15109.056829268291,NY,Urbanized Area,40.820454,-73.925066,48188.0,46829.93197278912,32.0,Mixed,12.119199800780274,50.021642210968274,Mixed,34.90910600149415,1952.0,931.0,161800.0,26048.0,16487.0,35.539968456877226,6.175811405329129,His,69.56090155319397,1.0,LINCOLN HOSPITAL,10451,40.81717305300003,-73.924376651,0.2292628387549292
9,10456,25.777777777777782,20708.122777777782,9035.673888888889,11672.44888888889,NY,Urbanized Area,40.829886,-73.908121,91868.0,90243.61493123774,29.8,Mixed,8.457787259981714,42.931530568074756,Mixed,31.519136151870075,1944.0,927.0,368000.0,23956.0,12553.0,41.175382069926414,6.644315757391039,His,61.545985671610225,1.0,BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,10456,40.831714789000046,-73.90405698399995,0.2475806729813678
10,10457,24.689655172413797,22626.75413793104,10268.747241379311,12358.006896551724,NY,Urbanized Area,40.847162,-73.898663,73763.0,69653.44664778093,29.6,Mixed,12.102273497552972,45.897397867536796,Mixed,26.818323549747163,1939.0,1060.0,378300.0,24750.0,12997.0,39.3598416550303,6.811002806284994,His,69.06967933041712,2.0,SBH HEALTH SYSTEM,10457,40.85268900600005,-73.89136287599996,0.5401550610609532
11,10461,27.225,23590.18675,10228.113000000001,13362.07375,NY,Urbanized Area,40.847396,-73.84057800000002,51820.0,21654.82657751776,37.2,Mixed,47.19799305287535,54.012358954507,Mixed,41.51678888460055,1950.0,1244.0,440000.0,51568.0,26828.0,15.839444230027015,5.6464685449633345,His,53.28947368421054,4.0,CALVARY HOSPITAL,10461,40.84798988700003,-73.84394162599993,0.18095328363804952
12,10467,86.68333333333334,20657.395083333333,11542.026333333326,9115.36875,NY,Urbanized Area,40.869953,-73.865765,101134.0,43275.139067180135,33.4,Mixed,19.355508533233138,49.88286657437973,Mixed,39.15300492416002,1949.0,1140.0,349900.0,35117.0,17540.0,29.32050546799296,7.66310044099907,His,60.52675951842984,1.0,MONTEFIORE MEDICAL CENTER - MOSES DIVISION,10466,40.880079256000045,-73.87982669899995,1.0152441003315535
13,10512,35.264150943396224,9743.048490566038,9833.886603773584,-90.83811320754722,NY,Urbanized Area,41.457619,-73.72460799999998,24845.0,455.3869276733018,43.8,White,88.81062588045886,59.88917620982638,Eng,79.07023545985108,1969.0,1169.0,309600.0,90095.0,41898.0,4.346951096800161,3.0911652243912258,White,75.0925925925926,1.0,PUTNAM HOSPITAL CENTER,10512,41.382627122000024,-73.66297571399997,6.0854759261157225
14,10549,30.87931034482759,10376.437413793108,10911.569827586209,-535.1324137931034,NY,Urbanized Area,41.200584,-73.723465,16353.0,852.251407129456,39.1,Mixed,69.70586436739437,70.47759241086031,Mixed,60.52100532012474,1966.0,1371.0,566500.0,91184.0,54685.0,10.952118877270225,3.442793371246866,His,64.43327749860414,1.0,NORTHERN WESTCHESTER HOSPITAL,10549,41.19705408200009,-73.72570075199997,0.2700315776346233
15,10550,17.25,10794.501875,7987.2350000000015,2807.2668750000007,NY,Urbanized Area,40.905448,-73.83525300000002,37543.0,18894.313034725717,33.8,Mixed,13.20352662280585,49.311498977918546,Mixed,69.27523106837494,1946.0,1177.0,353600.0,40698.0,21037.0,18.490797219188664,7.593958927096929,Black,71.31950446557187,1.0,MONTEFIORE MOUNT VERNON HOSPITAL,10550,40.912898359000046,-73.84056200299993,0.5844260454312888
16,10567,42.0,9877.941403508774,10117.955614035089,-240.01421052631596,NY,Urbanized Area,41.2896,-73.897001,20741.0,936.9381578352983,43.8,White,79.21508124005592,69.53883130539283,Eng,75.77262427076803,1966.0,1664.0,398700.0,119521.0,48302.0,4.426016103370136,2.9988910852900053,White,59.15032679738562,1.0,NEWYORK-PRESBYTERIAN/HUDSON VALLEY HOSPITAL,10567,41.292464660000064,-73.89260098799997,0.30253597816306804
17,10591,33.627450980392155,10716.951764705884,9836.858823529412,880.0929411764705,NY,Urbanized Area,41.090097,-73.841014,23185.0,2345.472938796156,40.4,Mixed,69.78649989217166,69.01199737824514,Mixed,56.87729135216735,1952.0,1394.0,545400.0,78388.0,45919.0,10.010782833728703,4.938537847746388,His,68.37570012925464,1.0,PHELPS MEMORIAL HOSPITAL CENTER,10591,41.10900705500005,-73.86308776399994,1.7408419421376635
